comunidad_autonoma;poblacion
Andalucía;8472407
Aragón;1326261
Asturias. Principado de;1011792
Balears. Illes;1173008
Canarias;2172944
Cantabria;584507
Castilla y León;2383139
Castilla - La Mancha;2049562
Cataluña;7763362
Comunitat Valenciana;5058138
Extremadura;1059501
Galicia;2695645
Madrid. Comunidad de;6751251
Murcia. Región de;1518486
Navarra. Comunidad Foral de;661537
País Vasco;2213993
Rioja. La;319796
Ceuta;83517
Melilla;86261
